,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
140,CARTHAMNUS TINCTORIUS (SAFFLOWER) OIL,,Fair,1,1,Green,LOW,LOW,LOW
141,BIS-DIGLYCERYL POLYACYLADIPATE-2,비스-다이글리세릴폴리아실아디페이트-2,None,1,1,Green,LOW,LOW,LOW
142,GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,구아하이드록시프로필트라이모늄클로라이드,Limited,1,1,Green,LOW,LOW,LOW
143,PARAFFIN,파라핀,Fair,1,1,Green,LOW,LOW,LOW
144,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT,로즈마리잎추출물,Limited,1,1,Green,LOW,LOW,LOW
145,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,Limited,1,1,Green,LOW,LOW,LOW
146,SORBITOL,솔비톨,Fair,1,1,Green,LOW,LOW,LOW
147,BUTYLPARABEN,부틸파라벤,Fair,9,9,Red,LOW,MODERATE,MODERATE
148,VITIS VINIFERA (GRAPE) SEED OIL,포도씨오일,Fair,1,1,Green,LOW,LOW,LOW
149,BENZOPHENONE-1,벤조페논-1,Fair,4,4,Yellow,LOW,LOW,MODERATE
150,STEARALKONIUM HECTORITE,스테아랄코늄헥토라이트,None,1,1,Green,LOW,LOW,LOW
151,POLYETHYLENE TEREPHTHALATE,폴리에틸렌테레프탈레이트,Fair,1,1,Green,LOW,LOW,LOW
152,CETYL PEG/ PPG-10/ 1 DIMETHICONE,세틸피이지/피피지-10/1다이메티콘,Fair,3,3,Yellow,LOW,LOW,LOW
153,CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
154,STEARALKONIUM BENTONITE,스테아랄코늄벤토나이트,None,1,1,Green,LOW,LOW,LOW
155,SORBIC ACID,소르빅애씨드,Fair,2,2,Green,LOW,LOW,MODERATE
156,DIMETHICONOL,다이메티콘올,Limited,1,1,Green,LOW,LOW,LOW
157,COUMARIN,쿠마린,Good,4-5,5,Yellow,LOW,LOW,HIGH
158,CETRIMONIUM CHLORIDE,세트리모늄클로라이드,Fair,4,4,Yellow,LOW,LOW,HIGH
159,ZINC OXIDE,징크옥사이드,Fair,1-3,3,Yellow,LOW,LOW,LOW_MODERATE
160,SODIUM CITRATE,소듐시트레이트,Fair,1,1,Green,LOW,LOW,LOW
161,BEHENTRIMONIUM CHLORIDE,베헨트라이모늄클로라이드,Limited,4,4,Yellow,LOW,LOW,HIGH
162,SODIUM LAURYL SULFATE,소듐라우릴설페이트,Fair,1-2,2,Green,LOW,LOW,LOW
163,ZINC OXIDE (sunscreen grade > 100nm),,Good,2-4,4,Yellow,LOW,LOW,LOW
164,SYNTHETIC WAX,합성왁스,Fair,1,1,Green,LOW,LOW,LOW
