,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
4252,C12-13 ALKYL LACTATE,C12-13알킬락테이트,None,1,1,Green,LOW,LOW,LOW
4253,CITRUS LIMON (LEMON) CONCENTRATE,,Limited,1,1,Green,LOW,LOW,LOW
4254,DISODIUM OLEAMIDO PEG-2 SULFOSUCCINATE,다이소듐올레아미도피이지-2설포석시네이트,None,3,3,Yellow,LOW,LOW,LOW
4255,EUCALYPTUS GLOBULUS (EUCALYPTUS) LEAF,,Limited,1,1,Green,LOW,LOW,LOW
4256,GALIUM APARINE (CLEAVERS) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4257,HYDROXYSUCCINIMIDE,,Fair,1,1,Green,LOW,LOW,LOW
4258,MYRTUS COMMUNIS (GREEN MYRTLE) LEAF OIL,,Limited,1,1,Green,LOW,LOW,LOW
4259,PEG-40 HYDROGENATED CASTOR EXTRACT,,None,3,3,Yellow,LOW,LOW,LOW
4260,POLYQUATERNIUM-30,폴리쿼터늄-30,None,1,1,Green,LOW,LOW,LOW
4261,DARUTOSIDE,다루토사이드,Limited,1,1,Green,LOW,LOW,LOW
4262,MONTAN WAX,,Limited,1,1,Green,LOW,LOW,LOW
4263,POLLEN,꽃가루,Fair,1,1,Green,LOW,LOW,LOW
4264,POLOXAMER 182,폴록사머182,Limited,2,2,Green,LOW,LOW,LOW
4265,SOY ACID,소이애씨드,Limited,1,1,Green,LOW,LOW,LOW
4266,STYRAX TONKINENSIS RESIN EXTRACT,안식향나무수지추출물,None,1,1,Green,LOW,LOW,LOW
4267,TERMINALIA BELLERICA FRUIT EXTRACT,테르미날리아 벨레리카열매추출물,None,1,1,Green,LOW,LOW,LOW
4268,VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT JUICE,로우스위트블루베리열매즙,Limited,1,1,Green,LOW,LOW,LOW
4269,TUSSILAGO FARFARA (COLTSFOOT) INFUSION,,Limited,1,1,Green,LOW,LOW,LOW
4270,UNSPECIFIED EMOLLIENTS,,None,4,4,Yellow,LOW,LOW,LOW
4271,CITRUS AURANTIUM AMARA (BITTER ORANGE) PEEL,비터오렌지껍질,None,1,1,Green,LOW,LOW,LOW
4272,SYNTHETIC SAPPHIRE,합성사파이어,Limited,1,1,Green,LOW,LOW,LOW
4273,PEDILANTHUS PAVONIS (CANDELILLA WAX),,None,1,1,Green,LOW,LOW,LOW
4274,EUPHORBIA ANTISYPHILITICA,,None,1,1,Green,LOW,LOW,LOW
4275,THYMUS PRAECOX (MOTHER OF THYME) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4276,CAMELLIA SINENSIS (GREEN TEA) SEED EXTRACT,,Fair,1,1,Green,LOW,LOW,LOW
4277,CHITOSAN ASCORBATE,키토산아스코베이트,Limited,1,1,Green,LOW,LOW,LOW
4278,GLYCINE SOJA AMINO ACIDS,,None,1,1,Green,LOW,LOW,LOW
4279,MAGNESIUM PEROXIDE,마그네슘퍼옥사이드,Limited,1-2,2,Green,LOW,LOW,LOW
4280,NITROGEN,질소,Fair,1,1,Green,LOW,LOW,LOW
4281,PALMITOYL HYDROLYZED WHEAT PROTEIN,팔미토일하이드롤라이즈드밀단백질,None,1,1,Green,LOW,LOW,LOW
4282,PEG-8 DILAURATE,피이지-8다이라우레이트,Limited,2-4,4,Yellow,LOW,LOW,MODERATE
4283,ACHILLEA MILLEFOLIUM (COMMON YARROW) FLOWER WATER,,None,1,1,Green,LOW,LOW,LOW
4284,ARTEMISIA ABSINTHIUM (MUGWORT) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4285,CUPRESSUS SEMPERVIRENS SEED EXTRACT,솔잣나무씨추출물,Limited,1-2,2,Green,LOW,LOW,LOW
4286,GARDENIA FLORIDA FLOWER EXTRACT,치자꽃추출물,None,1,1,Green,LOW,LOW,LOW
4287,GLYCOL MONTANATE,글라이콜몬타네이트,None,1,1,Green,LOW,LOW,LOW
4288,METHYL CYCLODEXTRIN,메틸사이클로덱스트린,Limited,1,1,Green,LOW,LOW,LOW
4289,RHEUM UNDULATUM EXTRACT,,None,1,1,Green,LOW,LOW,LOW
4290,PALMITOYL DIPEPTIDE-7,팔미토일다이펩타이드-7,None,1,1,Green,LOW,LOW,LOW
4291,HYDROLYZED AVOCADO PROTEIN,하이드롤라이즈드아보카도단백질,None,1,1,Green,LOW,LOW,LOW
4292,DICTYOPTERIS MEMBRANACEA (ALGAE) EXTRACT,,None,1,1,Green,LOW,LOW,LOW
4293,BIXA ORELLANA (LIPSTICKTREE),,Limited,1,1,Green,LOW,LOW,LOW
4294,C14-16 OLEFIN SULFONATE,,None,1,1,Green,LOW,LOW,LOW
4295,CAMPHOR BENZALKONIUM METHOSULFATE,캠퍼벤잘코늄메토설페이트,Limited,2,2,Green,LOW,LOW,LOW
4296,FOENICULUM VULGARE (SWEET FENNEL),,Limited,1,1,Green,LOW,LOW,LOW
4297,FRAGARIA (STRAWBERRY) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4298,FRUIT ACIDS,,Limited,2,2,Green,LOW,LOW,LOW
4299,GAMMA AMINOBUTYRIC ACID,,Fair,1,1,Green,LOW,LOW,LOW
4300,MORUS NIGRA (BLACK MULBERRY) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4301,PANAX GINSENG (GINSENG),,Fair,1-2,2,Green,LOW,LOW,MODERATE
4302,SODIUM CALCIUM ALGINATE,,Limited,1,1,Green,LOW,LOW,LOW
4303,TAGETES MINUTA (MUSTER JOHN HENRY) OIL,,Limited,1,1,Green,LOW,LOW,LOW
4304,TRITICUM VULGARE (WHEAT) GERM GLYCERIDES,,Limited,1,1,Green,LOW,LOW,LOW
4305,C11-13 ISOPARAFFIN,C11-13아이소파라핀,None,1,1,Green,LOW,LOW,LOW
4306,CANARIUM COMMUNE (ELEMI) GUM OIL,,None,1,1,Green,LOW,LOW,LOW
4307,METHYLSILANOL HYDROXYPROLINE ASPARTATE,메틸실란올하이드록시프롤린아스파테이트,None,1,1,Green,LOW,LOW,LOW
4308,PEG-14,피이지-14,Limited,3,3,Yellow,LOW,LOW,LOW
4309,PEG-30 CASTOR OIL,피이지-30캐스터오일,Limited,2-4,4,Yellow,LOW,LOW,MODERATE
4310,PEG-6 COCAMIDE,피이지-6코카마이드,None,3,3,Yellow,LOW,LOW,LOW
4311,PSIDIUM GUAJAVA LEAF EXTRACT,구아바잎추출물,Limited,1,1,Green,LOW,LOW,LOW
4312,PRUNUS ARMENIACA (APRICOT) KERNEL,,Limited,1,1,Green,LOW,LOW,LOW
4313,ACACIA ARABICA GUM,,None,1,1,Green,LOW,LOW,LOW
4314,BIS-HYDROXYETHOXYPROPYL DIMETHICONE BEESWAX ESTERS,,None,1,1,Green,LOW,LOW,LOW
4315,ROSA RUBIGINOSA OIL,,Limited,3,3,Yellow,LOW,LOW,HIGH
4316,ALUMINUM HYDRATE,,Fair,1,1,Green,LOW,LOW,LOW
4317,CITRUS EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4318,GLYCINE SOJA (SOYBEAN) ISOFLAVONOIDS,,None,1,1,Green,LOW,LOW,LOW
4319,GLYCOLS COPOLYMER,,None,1,1,Green,LOW,LOW,LOW
4320,MAGNESIUM TRISILICATE,마그네슘트라이실리케이트,Limited,1,1,Green,LOW,LOW,LOW
4321,NEPHRITE POWDER,연옥가루,None,1,1,Green,LOW,LOW,LOW
4322,RUBUS VILLOSUS (BLACKBERRY) FRUIT EXTRACT,수리딸기추출물,None,1,1,Green,LOW,LOW,LOW
4323,TEA CARBOMER,티이에이-카보머,Limited,1-2,2,Green,LOW,LOW,LOW
4324,TRIMELLITIC ANHYDRIDE,,Fair,2-3,3,Yellow,LOW,LOW,MODERATE
4325,ASIATICOSIDE,아시아티코사이드,Limited,1,1,Green,LOW,LOW,LOW
4326,CITRUS LIMON (LEMON) PEEL POWDER,레몬껍질가루,None,1,1,Green,LOW,LOW,LOW
4327,GUAIACUM OFFICINALE WOOD EXTRACT,구아이악목부추출물,None,1,1,Green,LOW,LOW,LOW
4328,IMPATIENS BALSAMINA FLOWER EXTRACT,봉선화꽃추출물,None,1,1,Green,LOW,LOW,LOW
4329,JANIA RUBENS EXTRACT,야니아 루벤스추출물,None,1,1,Green,LOW,LOW,LOW
4330,MEADOWFOAM DELTA-LACTONE,메도우폼델타-락톤,None,1,1,Green,LOW,LOW,LOW
4331,ORIGANUM VULGARE FLOWER EXTRACT,오레가노꽃추출물,Limited,1,1,Green,LOW,LOW,LOW
4332,PEG-60 GLYCERYL ISOSTEARATE,피이지-60글리세릴아이소스테아레이트,None,3,3,Yellow,LOW,LOW,LOW
4333,PIMPINELLA ANISUM (ANISE) SEED EXTRACT,아니스씨추출물,Limited,1,1,Green,LOW,LOW,LOW
4334,POGOSTEMON CABLIN (PATCHOULI) LEAF EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4335,PPG-30,피피지-30,Limited,1,1,Green,LOW,LOW,LOW
4336,SAMBUCUS NIGRA (ELDER) FLOWER INFUSION,,Limited,1,1,Green,LOW,LOW,LOW
4337,ILEX PARAGUARIENSIS (MATE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4338,C20-22 ALKYL PHOSPHATE,C20-22알킬포스페이트,None,1,1,Green,LOW,LOW,LOW
4339,DIPTEROCARPUS TURBINATUS BALSAM OIL,,None,1,1,Green,LOW,LOW,LOW
4340,C13-15 ISOPARAFFIN,,None,1,1,Green,LOW,LOW,LOW
4341,BOSWELLIA NEGLECTA RESIN OIL,보스웰리아 네글렉타수지오일,None,1,1,Green,LOW,LOW,LOW
4342,ADANSONIA DIGITATA (BAOBAB) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4343,POLYGLYCERYL-10 CAPRYLATE/ CAPRATE,폴리글리세릴-10카프릴레이트/카프레이트,Limited,1,1,Green,LOW,LOW,LOW
4344,CIRSIUM ERIOPHORUM CALLUS EXTRACT,울리티슬캘러스추출물,None,1,1,Green,LOW,LOW,LOW
4345,ACRYLIC COPOLYMER,,Limited,1,1,Green,LOW,LOW,LOW
4346,ALLIUM CEPA (ONION) BULB EXTRACT,양파추출물,Fair,1,1,Green,LOW,LOW,LOW
4347,BIS-PEG-12 DIMETHICONE,비스-피이지-12다이메티콘,None,3,3,Yellow,LOW,LOW,LOW
4348,C12-13 ALKYL ETHYLHEXANOATE,C12-13알킬에틸헥사노에이트,None,1,1,Green,LOW,LOW,LOW
4349,CITRUS PARADISI (GRAPEFRUIT) SEED,,Limited,1,1,Green,LOW,LOW,LOW
4350,GLYCERYL HYDROXYSTEARATE,글리세릴하이드록시스테아레이트,None,1-3,3,Yellow,LOW,LOW,LOW
4351,GLYCYRRHIZA INFLATA (BATALIN) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4352,PROTEASE,프로테아제,Good,1-2,2,Green,LOW,LOW,MODERATE
4353,PRUNUS DOMESTICA (PLUM) SEED EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4354,SOPHORA JAPONICA (JAPANESE PAGODA TREE) FLOWER EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4355,TOPAZ,토파즈,Limited,1,1,Green,LOW,LOW,LOW
4356,TUSSILAGO FARFARA (COLTSFOOT),,Limited,1,1,Green,LOW,LOW,LOW
4357,YUCCA GLAUCA (SOAPWEED) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4358,5-AMINO-6-CHLORO-O-CRESOL,5-아미노-6-클로로-o-크레솔,Limited,5,5,Yellow,LOW,LOW,MODERATE
4359,Acid Blue 9 (Uncertified FD&C Blue No. 1 or D&C Blue No. 4),,Good,10,10,Red,LOW,LOW,LOW
4360,ALGAE OLIGOSACCHARIDES,조류올리고사카라이드,None,1,1,Green,LOW,LOW,LOW
4361,ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY,알루미늄지르코늄펜타클로로하이드렉스글라이신,Limited,1-3,3,Yellow,LOW,LOW,LOW
4362,CHALK,초크,Limited,1,1,Green,LOW,LOW,LOW
4363,HC RED NO. 1,에치씨적색1호,Limited,5,5,Yellow,LOW,LOW,MODERATE
4364,NEOHESPERIDIN DIHYDROCHALCONE,네오헤스페리딘다이하이드로칼콘,Limited,1,1,Green,LOW,LOW,LOW
4365,RAFFINOSE,라피노오스,Fair,1,1,Green,LOW,LOW,LOW
4366,SODIUM POLYGLUTAMATE,소듐폴리글루타메이트,None,1,1,Green,LOW,LOW,LOW
4367,TRIETHYLHEXYL TRIMELLITATE,트라이에틸헥실트라이멜리테이트,Limited,1,1,Green,LOW,LOW,LOW
4368,WALTHERIA INDICA LEAF EXTRACT,왈테리아잎추출물,None,1,1,Green,LOW,LOW,LOW
4369,PELARGONIUM GRAVEOLENS FLOWER/ LEAF/ STEM EXTRACT,센티드제라늄꽃/잎/줄기추출물,None,1,1,Green,LOW,LOW,LOW
4370,SODIUM COCOYL ALANINATE,소듐코코일알라니네이트,None,1,1,Green,LOW,LOW,LOW
4371,"Pyroligneous acids, hickory",,Limited,1,1,Green,LOW,LOW,LOW
4372,CITRUS CLEMENTINA FRUIT EXTRACT,클레멘타인열매추출물,Limited,1,1,Green,LOW,LOW,LOW
4373,ELASTIN,엘라스틴,Fair,1,1,Green,LOW,LOW,LOW
4374,FORTUNELLA MARGARITA (KUMQUAT) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4375,GLUCOSAMINE,글루코사민,Fair,1,1,Green,LOW,LOW,LOW
4376,METHYL LACTATE,메틸락테이트,Limited,4,4,Yellow,LOW,LOW,LOW
4377,PEG-12 GLYCERYL DISTEARATE,피이지-12글리세릴다이스테아레이트,None,3,3,Yellow,LOW,LOW,LOW
4378,PHTHALIC ANHYDRIDE,,Fair,3-4,4,Yellow,LOW,LOW,LOW
4379,PROPYLENE GLYCOL ALGINATE,프로필렌글라이콜알지네이트,Limited,1,1,Green,LOW,LOW,LOW
4380,SACCHAROMYCES,,Fair,1,1,Green,LOW,LOW,LOW
4381,TRIMETHYLOLPROPANE,트라이메틸올프로판,Limited,1,1,Green,LOW,LOW,LOW
4382,ARNICA MONTANA POWDER,,None,1,1,Green,LOW,LOW,LOW
4383,ISOSTEARAMIDE MIPA,아이소스테아라마이드미파,None,1,1,Green,LOW,LOW,LOW
4384,PEG/ PPG 120/ 10 TRIMETHYLOLPROPANE TRIOLEATE,피이지/피피지-120/10트라이메틸올프로판트라이올리에이트,None,3,3,Yellow,LOW,LOW,LOW
4385,DEXTRAN SULFATE,덱스트란설페이트,Fair,1,1,Green,LOW,LOW,LOW
4386,DISODIUM DISTYRYLBIPHENYL DISULFONATE,다이소듐다이스티릴바이페닐다이설포네이트,Limited,1,1,Green,LOW,LOW,LOW
4387,GLYCERETH-5 LACTATE,글리세레스-5락테이트,None,1,1,Green,LOW,LOW,LOW
4388,OENOTHERA BIENNIS (EVENING PRIMROSE),,Limited,1,1,Green,LOW,LOW,LOW
4389,PROPYLENE GLYCOL DIETHYLHEXANOATE,프로필렌글라이콜다이에틸헥사노에이트,None,1,1,Green,LOW,LOW,LOW
4390,TULSI (HOLY BASIL),,None,1,1,Green,LOW,LOW,LOW
4391,VITAMIN F,,Limited,1,1,Green,LOW,LOW,LOW
4392,WHITE CRANBERRY POWDER,,None,1,1,Green,LOW,LOW,LOW
4393,XANTHOPHYLL,,Fair,1,1,Green,LOW,LOW,LOW
4394,ACACIA DECURRENS EXTRACT,그린와틀추출물,None,1,1,Green,LOW,LOW,LOW
4395,BASIC ORANGE 31,염기성등색31호,None,1,1,Green,LOW,LOW,LOW
4396,BUTYL ACRYLATE/ HYDROXYPROPYL DIMETHICONE ACRYLATE COPOLYMER,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,None,1,1,Green,LOW,LOW,LOW
4397,CANANGA ODORATA FLOWER WAX,일랑일랑꽃왁스,None,1,1,Green,LOW,LOW,LOW
4398,CI 75120,,Limited,1,1,Green,LOW,LOW,LOW
4399,HYDROLYZED RICE BRAN EXTRACT,하이드롤라이즈드쌀겨추출물,None,1-3,3,Yellow,LOW,LOW,LOW
4400,EPOXY RESIN,,Fair,1,1,Green,LOW,LOW,LOW
4401,NYLON,,Fair,1,1,Green,LOW,LOW,LOW
4402,MUCUNA PRURIENS SEED EXTRACT,벨벳빈씨추출물,None,1,1,Green,LOW,LOW,LOW
4403,GERANIUM SYLVATICUM (WOODLAND GERANIUM) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4404,ACETYL CARNITINE HCL,아세틸카르니틴에이치씨엘,None,1,1,Green,LOW,LOW,LOW
4405,AMYL ACETATE,아밀아세테이트,Limited,1,1,Green,LOW,LOW,LOW
4406,CETETH-20 PHOSPHATE,세테스-20포스페이트,None,2,2,Green,LOW,LOW,LOW
4407,GLYCYRRHIZINIC ACID,,Fair,1,1,Green,LOW,LOW,LOW
4408,MINK OIL,밍크오일,Limited,3,3,Yellow,LOW,LOW,LOW
4409,POTASSIUM LAURETH PHOSPHATE,포타슘라우레스포스페이트,None,2,2,Green,LOW,LOW,LOW
4410,REHMANNIA GLUTINOSA (CHINESE FOXGLOVE) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4411,RETINYL PROPIONATE,레티닐프로피오네이트,Limited,6-9,9,Red,LOW_MODERATE,HIGH,LOW
4412,SAPONIFIED CANNABIS SATIVA (HEMP) OIL,,None,1,1,Green,LOW,LOW,LOW
4413,SODIUM ACRYLATES/ ACRYLOYLDIMETHYL TAURATE COPOLYMER,,None,1,1,Green,LOW,LOW,LOW
4414,VISCUM ALBUM (MISTLETOE) EXTRACT,겨우살이추출물,Limited,1,1,Green,LOW,LOW,LOW
4415,ALGINIC ACID,알지닉애씨드,Fair,1,1,Green,LOW,LOW,LOW
4416,TINOSORB S,,Limited,1,1,Green,LOW,LOW,LOW
4417,CISTUS MONSPELIENSIS EXTRACT,치스투스 몬스펠리엔시스추출물,None,1,1,Green,LOW,LOW,LOW
4418,DIMETHICONE PEG-7 ISOSTEARATE,다이메티콘피이지-7아이소스테아레이트,None,3,3,Yellow,LOW,LOW,LOW
4419,EPOXIDIZED SOYBEAN OIL EPOXIDIZED SOYBEAN OIL,,Limited,1,1,Green,LOW,LOW,LOW
4420,MYROTHAMNUS FLABELLIFOLIA EXTRACT,미로탐누스 플라벨리폴리아추출물,None,1,1,Green,LOW,LOW,LOW
4421,OXOTHIAZOLIDINECARBOXYLIC ACID,옥소티아졸리딘카복실릭애씨드,Limited,1,1,Green,LOW,LOW,LOW
4422,PHOENIX DACTYLIFERA (DATE) FRUIT EXTRACT,대추야자열매추출물,Limited,1,1,Green,LOW,LOW,LOW
4423,POLYGONUM CUSPIDATUM EXTRACT,호장근추출물,Limited,1,1,Green,LOW,LOW,LOW
4424,SOLUM DIATOMEAE,,None,1,1,Green,LOW,LOW,LOW
4425,DICAPRYL CARBONATE,,None,1,1,Green,LOW,LOW,LOW
4426,ILLICIUM VERUM (ANISE) SEED OIL,,Limited,1,1,Green,LOW,LOW,LOW
4427,PIMPINELLA ANISUM (ANISE) FRUIT OIL,아니스열매오일,Limited,1,1,Green,LOW,LOW,LOW
4428,JASMINE SAMBAC OIL,,Limited,2,2,Green,LOW,LOW,LOW
4429,BOIS DE ROSE (ROSEWOOD) OIL,,None,1,1,Green,LOW,LOW,LOW
4430,DIMETHICONOL/ PROPYLSILSESQUIOXANE/ SILICATE CROSSPOLYMER,,None,1,1,Green,LOW,LOW,LOW
4431,Brassica Oleracea Acephala Leaf Extract,케일잎추출물,None,1,1,Green,LOW,LOW,LOW
4432,APRICOT KERNELS,,Limited,1,1,Green,LOW,LOW,LOW
4433,CASSIA,,Fair,1,1,Green,LOW,LOW,LOW
4434,DISTEARATE,,Limited,1,1,Green,LOW,LOW,LOW
4435,IRIS FLORENTINA (GERMAN IRIS) ROOT,,Limited,1,1,Green,LOW,LOW,LOW
4436,MAGNESIUM CITRATE,마그네슘시트레이트,Limited,1,1,Green,LOW,LOW,LOW
4437,PEG-20 SORBITAN ISOSTEARATE,피이지-20솔비탄아이소스테아레이트,Limited,2-4,4,Yellow,LOW,LOW,MODERATE
4438,PG-HYDROXYETHYLCELLULOSE COCODIMONIUM CHLORIDE,피지-하이드록시에틸셀룰로오스코코다이모늄클로라이드,None,3,3,Yellow,LOW,LOW,HIGH
4439,PHYTOSTERYL/ BEHENYL/ OCTYLDODECYL LAUROYL GLUTAMATE,피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,None,1,1,Green,LOW,LOW,LOW
4440,QUATERNIUM-16,쿼터늄-16,None,3,3,Yellow,LOW,LOW,HIGH
4441,SOLANUM TUBEROSUM (POTATO) EXTRACT,,Fair,1,1,Green,LOW,LOW,LOW
4442,ULMUS FULVA (SLIPPERY ELM) BARK,,Limited,1,1,Green,LOW,LOW,LOW
4443,ACETAMINOPHEN,아세트아미노펜,Good,1,1,Green,LOW,LOW,LOW
4444,BACILLUS/ SOYBEAN FERMENT EXTRACT,바실러스/소이빈발효추출물,None,1,1,Green,LOW,LOW,LOW
4445,ETHYL BENZOATE,에틸벤조에이트,Limited,2,2,Green,LOW,LOW,LOW
4446,KINA EKISU,,None,1,1,Green,LOW,LOW,LOW
4447,TRIMETHYLOLPROPANE TRISTEARATE,트라이메틸올프로판트라이스테아레이트,None,1,1,Green,LOW,LOW,LOW
4448,ETHYL 2-METHYLBUTYRATE,,Limited,1,1,Green,LOW,LOW,LOW
4449,CAMPANULA ROTUNDIFLOLIA (HAREBELL) FLOWER EXTRACT,,None,1,1,Green,LOW,LOW,LOW
4450,ARTEMISIA ABROTANUM (SOUTHERNWOOD) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4451,CARICA PAPAYA (PAPAYA) LEAF EXTRACT,파파야잎추출물,Limited,1,1,Green,LOW,LOW,LOW
4452,GYNOSTEMMA PENTAPHYLLUM (SWEET TEA VINE) LEAF EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4453,ISOCETYL BEHENATE,아이소세틸베헤네이트,None,1,1,Green,LOW,LOW,LOW
4454,KIGELIA EXTRACT,,None,1,1,Green,LOW,LOW,LOW
4455,LARREA DIVARICATA (CREOSOTE BUSH) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4456,MONARDA DIDYMA LEAF EXTRACT,베르가못잎추출물,Limited,1,1,Green,LOW,LOW,LOW
4457,OLEA EUROPAEA (OLIVE) OIL EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4458,PEG-17 DIMETHICONE,피이지-17다이메티콘,None,3,3,Yellow,LOW,LOW,LOW
4459,PICEA EXCELSA (NORWAY SPRUCE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
4460,PLANTAGO MAJOR (PLANTAIN) LEAF,,Limited,1,1,Green,LOW,LOW,LOW
4461,POLYGLYCERYL-5 LAURATE,폴리글리세릴-5라우레이트,Limited,1,1,Green,LOW,LOW,LOW
4462,PPG-2 ISOCETETH-20 ACETATE,피피지-2아이소세테스-20아세테이트,None,2,2,Green,LOW,LOW,LOW
4463,SELENIUM SULFIDE,,Robust,8,8,Red,MODERATE,LOW,LOW
4464,TOCOPHEROL NICOTINATE,,Limited,1,1,Green,LOW,LOW,LOW
4465,WHITE CLAY POWDER,,None,1,1,Green,LOW,LOW,LOW
4466,CITRONELLAL,시트로넬알,Fair,1-2,2,Green,LOW,LOW,LOW
4467,GANODERMA ATRUM (MUSHROOM) EXTRACT,가노데르마 아트룸추출물,None,1,1,Green,LOW,LOW,LOW
4468,ILEX AQUIFOLIUM (HOLLY) LEAF EXTRACT,구주호랑가시나무잎추출물,Limited,1,1,Green,LOW,LOW,LOW
4469,JASMINUM OFFICINALE (JASMINE) FLOWER WATER,,Limited,1,1,Green,LOW,LOW,LOW
4470,POLYESTER-1,폴리에스터-1,None,1,1,Green,LOW,LOW,LOW
4471,RHIZOBIAN GUM,라이조비안검,None,1,1,Green,LOW,LOW,LOW
4472,ROSMARINUS OFFICINALIS (ROSEMARY) WATER,로즈마리수,Limited,1,1,Green,LOW,LOW,LOW
4473,SIMMONDSIA CHINENSIS (JOJOBA) SEED WAX,호호바씨왁스,Limited,1,1,Green,LOW,LOW,LOW
4474,THYMUS ZYGIS OIL,스패니쉬타임오일,None,1,1,Green,LOW,LOW,LOW
4475,TOCOPHERYL GLUCOSIDE,토코페릴글루코사이드,None,1,1,Green,LOW,LOW,LOW
4476,LAURDIMONIUM HYDROXYPROPYL HYDROLYZED SOY PROTEIN,라우다이모늄하이드록시프로필하이드롤라이즈드콩단백질,None,1,1,Green,LOW,LOW,LOW
4477,ARGANIA SPINOSA LEAF EXTRACT,아르간잎추출물,None,1,1,Green,LOW,LOW,LOW
4478,ETHYLENEDIAMINE / HYDROGENATED DIMER DILINOLEATE COPOLYMER BIS-DI-C14-18 ALKYL AMIDE,에틸렌다이아민/하이드로제네이티드다이머다이리놀리에이트코폴리머비스-다이-C14-18알킬아마이드,None,1,1,Green,LOW,LOW,LOW
4479,PHASEOLUS RADIATUS SEED EXTRACT,녹두씨추출물,None,1,1,Green,LOW,LOW,LOW
4480,2 BENZYLHEPTANOL,2-벤질헵탄올,None,1,1,Green,LOW,LOW,LOW
4481,HYDROLYZED MANIHOT ESCULENTA TUBER EXTRACT,하이드롤라이즈드타피오카덩이줄기추출물,None,1,1,Green,LOW,LOW,LOW
4482,AESCULUS HIPPOCASTANUM (HORSE CHESTNUT),,Limited,1,1,Green,LOW,LOW,LOW
4483,ALKYL POLYGLYCOSIDE,,Limited,1,1,Green,LOW,LOW,LOW
4484,CALAMINE POWDER,,None,1,1,Green,LOW,LOW,LOW
4485,CAMELLIA EXTRACT,,None,1,1,Green,LOW,LOW,LOW
4486,CAPRYLIC/ CAPRIC/ SUCCINIC TRIGLYCERIDE,카프릴릭/카프릭/석시닉트라이글리세라이드,None,1,1,Green,LOW,LOW,LOW
4487,DIMETHICONE PEG-8 BENZOATE,다이메티콘피이지-8벤조에이트,None,3,3,Yellow,LOW,LOW,LOW
4488,MALT EXTRACT,맥아추출물,Limited,1,1,Green,LOW,LOW,LOW
4489,METHOXY AMODIMETHICONE/ SILSEQUIOXANE COPOLYMER,,None,1,1,Green,LOW,LOW,LOW
4490,4-HYDROXYBENZOIC ACID,4-하이드록시벤조익애씨드,Fair,3,3,Yellow,LOW,LOW,LOW
4491,POLYURETHANE-1,폴리우레탄-1,None,1,1,Green,LOW,LOW,LOW
4492,SODIUM HYDRONATE,,None,1,1,Green,LOW,LOW,LOW
4493,STEARDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,스테아다이모늄하이드록시프로필하이드롤라이즈드밀단백질,None,1,1,Green,LOW,LOW,LOW
4494,ZANTHOXYLUM ALATUM (WINGED PRICKLY ASH) EXTRACT,,None,1,1,Green,LOW,LOW,LOW
4495,BORNANEDIONE,보르네인다이온,None,1,1,Green,LOW,LOW,LOW
4496,DIMETHYL OXOBENZO DIOXASILANE,다이메틸옥소벤조다이옥사실레인,None,1,1,Green,LOW,LOW,LOW
4497,OCTYLDODECYL HYDROXYSTEARATE,옥틸도데실하이드록시스테아레이트,None,1,1,Green,LOW,LOW,LOW
4498,PASSIFLORA LAURIFOLIA FRUIT EXTRACT,워터레몬열매추출물,None,1,1,Green,LOW,LOW,LOW
4499,PEG-30 STEARATE,피이지-30스테아레이트,Limited,3,3,Yellow,LOW,LOW,LOW
4500,PHLOROGLUCINOL TRIMETHYL ETHER,플로로글루시놀트라이메틸에터,Limited,1,1,Green,LOW,LOW,LOW
4501,QUERCUS ROBUR BARK EXTRACT,로부르참나무껍질추출물,None,1,1,Green,LOW,LOW,LOW
